"gene_id","log2FC","pval"
"ENSG00000119771",-2.92117866227238,4.13309783161965e-73
"ENSG00000099953",6.15591445626165,1.25239589265471e-72
"ENSG00000165197",-5.65096199909967,5.50625729817405e-72
"ENSG00000230838",6.44734049263451,5.50963663250372e-71
"ENSG00000197576",-2.65169601398621,1.94466690429746e-66
"ENSG00000137225",-2.98327004127495,8.98004450109792e-64
"ENSG00000167641",-3.37309734489143,1.55182186629006e-63
"ENSG00000198932",-2.27595223725374,3.6974413285054e-63
"ENSG00000122641",3.68547452442402,9.00786130675381e-63
"ENSG00000198947",-3.25584649569116,2.8959585533209e-62
"ENSG00000179796",-4.50770876571236,4.67408822681318e-62
"ENSG00000165795",-2.73806732019157,2.45610478135723e-60
"ENSG00000196549",-3.55213391020908,3.40678911211572e-60
"ENSG00000182253",-3.99287498812089,7.4467855667146e-59
"ENSG00000151623",-2.44841795336544,2.14858198427373e-58
"ENSG00000224958",-4.4532573759541,2.17932245371674e-58
"ENSG00000130226",-4.26733353030386,2.52505550898844e-58
"ENSG00000248309",-2.73032287576553,2.71787165758851e-57
"ENSG00000132561",-3.10149536758977,7.99169076607321e-57
"ENSG00000203805",5.45681419526332,2.83958308220622e-56
"ENSG00000240654",-3.9783660062821,7.21496083469116e-56
"ENSG00000117650",4.57703583693306,3.33091646201261e-54
"ENSG00000123243",-3.86786244546081,4.68136520157378e-54
"ENSG00000261742",4.66690681769322,1.0219088417067e-53
"ENSG00000122591",-1.85871217803917,1.18865712542534e-53
"ENSG00000208035",-4.59972165688219,1.25178270296377e-53
"ENSG00000245025",-1.90731064602211,2.5894480407822e-53
"ENSG00000113648",1.06682835298839,1.26990382574744e-52
"ENSG00000151914",-2.33933054263024,1.41678843436871e-52
"ENSG00000168079",-6.39429487822277,1.95262727411497e-52
"ENSG00000154065",-2.69562210636111,2.50227390346573e-52
"ENSG00000105974",-2.9772270702499,3.95350587078473e-52
"ENSG00000276386",-3.50919333069433,6.54113605368224e-52
"ENSG00000143799",1.21989532950624,1.42475364731413e-51
"ENSG00000184271",-1.32333854442538,1.71485614483638e-51
"ENSG00000113578",-2.16279350162996,4.68549293251812e-51
"ENSG00000253552",-1.97944486891061,5.39499910652655e-51
"ENSG00000165810",-4.12417027961063,6.30065083483901e-51
"ENSG00000078596",-2.62384726500136,8.39265826602058e-51
"ENSG00000130032",-3.46909893783795,1.02138891450018e-50
"ENSG00000171819",-5.85275409037439,1.47277075172081e-50
"ENSG00000077152",2.98972362302953,6.19368521495258e-50
"ENSG00000109846",-3.80958112071502,6.21803688758534e-50
"ENSG00000186871",3.02456768863175,1.32479878825724e-49
"ENSG00000143493",1.28201221977336,1.73276184139806e-49
"ENSG00000187730",3.33514588814718,3.0309062199613e-49
"ENSG00000112984",3.61217909568519,3.6127997790872e-49
"ENSG00000234456",-2.03077753035375,3.7269205067761e-49
"ENSG00000154856",-2.39514055840726,5.54870584786986e-49
"ENSG00000134121",-3.36439217135648,6.57967283095892e-49
"ENSG00000105971",-2.6072339389389,7.07969327326346e-49
"ENSG00000213398",-1.49195514880508,1.28747686548775e-48
"ENSG00000127564",3.87495394938849,1.40298379598539e-48
"ENSG00000169679",3.42354441231747,2.71504646924053e-48
"ENSG00000172201",-3.04197215664489,4.72461784340454e-48
"ENSG00000165480",3.04738473360158,5.08039280821567e-48
"ENSG00000059573",1.09338908523917,6.83328726560051e-48
"ENSG00000169252",-2.96222476753275,7.3179161095201e-48
"ENSG00000146006",-2.58222099390678,7.56971361353071e-48
"ENSG00000133116",-2.45330557189281,7.78121256219905e-48
"ENSG00000225670",-3.87604793821458,1.00290852134011e-47
"ENSG00000144857",-2.09501753407159,1.22805134084113e-47
"ENSG00000100034",-1.17770905206301,1.57309472811004e-47
"ENSG00000147434",4.07523341453078,1.60263680040421e-47
"ENSG00000109674",3.55690526157037,1.70050708981196e-47
"ENSG00000166265",-1.89719230252524,2.06018733050533e-47
"ENSG00000182492",2.55221091446349,2.27043047627558e-47
"ENSG00000154330",-2.81710873217358,5.24223521747659e-47
"ENSG00000137812",3.00390022204779,6.07737541681198e-47
"ENSG00000138180",3.48704669817067,6.38094840269514e-47
"ENSG00000142910",-2.373699555545,7.48203298411789e-47
"ENSG00000203876",-2.56405161621655,9.25576774265929e-47
"ENSG00000158301",-1.28443275173983,1.13578950988406e-46
"ENSG00000164932",2.88439955222908,1.28788778791939e-46
"ENSG00000154265",-1.74066033346638,1.37039739061664e-46
"ENSG00000154678",-3.37174227956498,1.76832435676109e-46
"ENSG00000006210",-3.03037596837874,2.11010318639197e-46
"ENSG00000276409",-3.76366148222367,2.28404128052813e-46
"ENSG00000122565",1.0145749152648,2.73705191557584e-46
"ENSG00000230587",-2.86499340469446,2.98579843588645e-46
"ENSG00000148773",3.43954918784989,3.23898401237028e-46
"ENSG00000228971",-4.66284179099328,3.31852796940904e-46
"ENSG00000116128",1.27384434222257,4.35140710066295e-46
"ENSG00000226329",-2.68234730374979,4.96412482300741e-46
"ENSG00000184432",0.931663403186993,6.04806150768777e-46
"ENSG00000078549",-2.82705247638887,6.56252891750859e-46
"ENSG00000277494",-3.90074929697718,7.30984412481301e-46
"ENSG00000112175",-4.21574514288191,7.5854119054615e-46
"ENSG00000163378",-1.2495932063317,8.88261255356659e-46
"ENSG00000148541",-2.2328408359924,9.46616078171882e-46
"ENSG00000237248",-1.81280221551925,1.01648278597245e-45
"ENSG00000152580",-3.33160569823926,1.13694937678918e-45
"ENSG00000166257",-2.71571781452286,1.66774392545272e-45
"ENSG00000163545",2.09455367112032,2.09599972049987e-45
"ENSG00000071553",1.16916468039501,2.67279400990456e-45
"ENSG00000255248",-1.71157072779672,3.49351692117621e-45
"ENSG00000130988",-2.85141895887792,4.28354127569416e-45
"ENSG00000108799",-1.28339505062082,4.40154397549882e-45
"ENSG00000087586",2.86747309937928,4.9220149774314e-45
"ENSG00000118193",3.71042593894475,4.92385136016641e-45
"ENSG00000250961",-4.28460823431119,5.78002107789325e-45
